,Year,Movie_name,Role,Actor,Action,Adventure,Comedy,Drama,Thriller,Crime,History,Mystery,Fantasy,Family,Romance,War,Biography,Director,Rating
120,1993,Butterflies,Prince,Mohanlal,,,1,1,,,,,,,,,,Rajiv Anchal,6.3
122,1993,Gandharvam,Samuel Alexander,Mohanlal,,,,1,,,,,,,1,,,Sangeeth Sivan,6.4
121,1993,Maya Mayooram,"Krishnan Unni, Narendran",Mohanlal,,,,,,,,,,,1,,,Sibi Malayil,6.6
123,1993,Chenkol,Sedhumadhavan,Mohanlal,1,,,1,,,,,,,,,,Sibi Malayil,7.8
124,1993,Kalippattam,Venu,Mohanlal,,,,1,,,,,,,,,,Venu Nagavalli,7
116,1994,Pakshe,Balachandran,Mohanlal,,,,1,,,,,,,1,,,Mohan,7.1
114,1994,Thenmavin Kombath,Manikyan,Mohanlal,,,1,1,,,,,,,1,,,Priyadarshan,8.1
117,1994,Minnaram,Boby,Mohanlal,,,1,1,,,,,,,,,,Priyadarshan,7.5
113,1994,Pavithram,Unnikrishnan,Mohanlal,,,1,1,,,,,,,,,,Rajeev Kumar,7.9
115,1994,Pingami,Captain Vijay Menon,Mohanlal,1,,1,1,1,,,,,,,,,Sathyan Anthikkad,7.4
109,1995,Sphadikam,"Thomas ""Aadu Thoma"" Chacko",Mohanlal,1,,,1,,,,,,,,,,Bhadran,8.6
110,1995,Thacholi Varghese Chekavar,Thacholi Varghese Chekavar,Mohanlal,1,,,1,,,,,,,,,,Rajeev Kumar,5.2
108,1995,Nirnayam,Dr. Roy Alex,Mohanlal,1,,,,1,,,,,,,,,Sangeeth Sivan,7.1
111,1995,Manthrikam,Stephen Ronald / Alby Romeo Higuitta,Mohanlal,1,,1,1,1,,,,,,,,,Thampi Kannanthanam,6.3
112,1995,Agnidevan,Aniyankuttan / Ravi Varma,Mohanlal,,,,1,,,,,,,,,,Venu Nagavalli,5.8
106,1996,Kaalapani,Dr. Govardhan,Mohanlal,1,,,1,,,1,,,,,,,Priyadarshan,8.4
107,1996,The Prince,Jeeva,Mohanlal,1,,,,1,,,,,,,,,Suresh Krishnan,4.4
101,1997,Varnapakittu,Sunny Palamattom,Mohanlal,1,,,1,1,,,,,,1,,,I.V.Sasi,5.8
102,1997,Oru Yathramozhi,Govindankutty,Mohanlal,,,,1,,,,,,,,,,Prathap Pothen,6.9
103,1997,Chandralekha,Appukuttan / Alfy,Mohanlal,,,1,,,,,,,,1,,,Priyadarshan,7.5
104,1997,Guru,Reghuraman,Mohanlal,,,,1,,,,,1,,,,,Rajiv Anchal,8.5
105,1997,Aaraam Thampuran,Jagannadhan,Mohanlal,1,,,1,,,,,,,,,,Shaji Kailas,8
96,1998,Kanmadam,Vishwanathan,Mohanlal,,,,1,,,,,,,,,,A.K.Lohithadas,7.2
97,1998,Harikrishnans,Adv. Krishnan,Mohanlal,,,1,,,1,,1,,,1,,,Fazil,6.9
236,1998,Pathram,Firoz Mohammed,Biju Menon,1,,,,1,,,,,,,,,Joshiy,7
